Entry Number,Entry Date,Arrival Date,Broker Ref. No.,Part Number,Primary HTS,CPSC Commercial Description,CPSC Certifier ID,CPSC Product ID Number,CPSC Product ID Version Number,CPSC Intended Use,CPSC Intended Use Description
CHQ-2292223-3,7/31/2026,7/31/2026,4010584,,6110303059,VW1469 - US KNIT WOMEN MAN-MADE OTHER PULLOVER,VUORI,VW1469,9D7C56E7,,
CHQ-2288625-5,7/27/2026,7/27/2026,4010336,VW1532,6114301020,VW1532 - ELEVATION SQUARE NECK CAMI,VUORI,VW1532,7A7C1FA6,,
CHQ-2288625-5,7/27/2026,7/27/2026,4010336,VW1532,6114301020,VW1532 - ELEVATION SQUARE NECK CAMI,VUORI,VW1532,7A7C1FA6,,
CHQ-2288647-9,7/28/2026,7/27/2026,4010445,VW1532,6114301020,VW1532 - ELEVATION SQUARE NECK CAMI,VUORI,VW1532,7A7C1FA6,,
CHQ-2288653-7,7/28/2026,7/27/2026,3998308,VW1610,6110303059,VW1610 - WOMENS KNIT VUORI ALLTHEFEELS L/S SCOOP 81% POLYAMIDE 19% ELA,VUORI,VW1610,D81022C8,,
CHQ-2290076-7,7/28/2026,7/28/2026,3984741,VW1612,6109901065,VW1612 - WOMENS KNIT POSE HALTER 87% MODAL RAYON 13% ELASTANE,VUORI,VW1612,7465F6C6,,
CHQ-2290076-7,7/28/2026,7/28/2026,3984741,VW1612,6109901065,VW1612 - WOMENS KNIT POSE HALTER 87% MODAL RAYON 13% ELASTANE,VUORI,VW1612,7465F6C6,,
CHQ-2290076-7,7/28/2026,7/28/2026,3984741,VW1612,6109901065,VW1612 - WOMENS KNIT POSE HALTER 87% MODAL RAYON 13% ELASTANE,VUORI,VW1612, 7465F6C6,,
CHQ-2290076-7,7/28/2026,7/28/2026,3984741,VW2064,6110303059,VW2064 - US KNIT WOMEN MAN-MADE OTHER PULLOVER,VUORI,VW2064,7D05FC43,,
CHQ-2290076-7,7/28/2026,7/28/2026,3984741,VW2064,6110303059,VW2064 - US KNIT WOMEN MAN-MADE OTHER PULLOVER,VUORI,VW2064,7D05FC43,,
CHQ-2290076-7,7/28/2026,7/28/2026,3984741,VW2084,6110303059,VW2084 - US KNIT WOMEN MAN-MADE OTHER PULLOVER,VUORI,VW2084,1FD2F59B,,
CHQ-2290076-7,7/28/2026,7/28/2026,3984741,VW2084,6110303059,VW2084 - US KNIT WOMEN MAN-MADE OTHER PULLOVER,VUORI,VW2084,1FD2F59B,,
CHQ-2290076-7,7/28/2026,7/28/2026,3984741,VW2084,6110303059,VW2084 - US KNIT WOMEN MAN-MADE OTHER PULLOVER,VUORI,VW2084,1FD2F59B,,
CHQ-2293272-9,8/4/2026,8/4/2026,4025214,V1099,6105202010,"V1099 - US KNIT MEN MAN-MADE BUTTON DOWN SHIRTS, POLOS",VUORI,V1099,087EE3C7,,
CHQ-2293272-9,8/4/2026,8/4/2026,4025214,VW1639,6110301560,VW1639 - WOMENS KNIT L/S HALO DOUBLE ZIP TOP 89% RECYCLED POLYESTER 11,VUORI,VW1639,6AA3B75C,,
CHQ-2293272-9,8/4/2026,8/4/2026,4025214,VW1612,6109901065,VW1612 - WOMENS KNIT POSE HALTER 87% MODAL RAYON 13% ELASTANE,VUORI,VW1612,7465F6C6,,
CHQ-2293272-9,8/4/2026,8/4/2026,4025214,VW1639,6110301560,VW1639 - WOMENS KNIT L/S HALO DOUBLE ZIP TOP 89% RECYCLED POLYESTER 11,VUORI,VW1639,6AA3B75C,,
CHQ-2293272-9,8/4/2026,8/4/2026,4025214,VW2084,6110303059,VW2084 - US KNIT WOMEN MAN-MADE OTHER PULLOVER,VUORI,VW2084,1FD2F59B,,
CHQ-2293272-9,8/4/2026,8/4/2026,4025214,,6110303045,VW2084-L - US KNIT WOMEN MAN-MADE SWEATSHIRT,VUORI,VW2084,48692A4F,,
CHQ-2293311-5,8/4/2026,8/4/2026,3984761,,6110303041,V2058 - MEN'S 71% RECYCLED POLYESTER + 26% LYOCELL + 3% SPANDEX KNITTE,VUORI,V2058,3721BCE8,,
CHQ-2293311-5,8/4/2026,8/4/2026,3984761,,6110303059,VW1609 - WOMENS KNIT L/S HALO V-NECK CARDIGAN 89% RECYCLED POLYESTER 1,VUORI,VW1609,139996B6,,
CHQ-2293323-0,8/4/2026,8/4/2026,4007382,VW1643,6212109020,VW1643 - WOMEN'S KNIT DAILY LAYERED BRA,VUORI,VW1643,D335218E,,
CHQ-2293323-0,8/4/2026,8/4/2026,4007382,VW1643,6212109020,VW1643 - WOMEN'S KNIT DAILY LAYERED BRA,VUORI,VW1643,D335218E,,
CHQ-2293323-0,8/4/2026,8/4/2026,4007382,VW1643,6212109020,VW1643 - WOMEN'S KNIT DAILY LAYERED BRA,VUORI,VW1643,D335218E,,
CHQ-2293323-0,8/4/2026,8/4/2026,4007382,VW1643,6212109020,VW1643 - WOMEN'S KNIT DAILY LAYERED BRA,VUORI,VW1643,D335218E,,
CHQ-2293323-0,8/4/2026,8/4/2026,4007382,VW1643,6212109020,VW1643 - WOMEN'S KNIT DAILY LAYERED BRA,VUORI,VW1643,D335218E,,
CHQ-2293323-0,8/4/2026,8/4/2026,4007382,VW1643,6212109020,VW1643 - WOMEN'S KNIT DAILY LAYERED BRA,VUORI,VW1643,D335218E,,
CHQ-2293323-0,8/4/2026,8/4/2026,4007382,VW1643,6212109020,VW1643 - WOMEN'S KNIT DAILY LAYERED BRA,VUORI,VW1643,D335218E,,
CHQ-2293331-3,8/4/2026,8/4/2026,3989940,VW323,6104632006,VW323 - DAILY LEGGING,VUORI,VW323,94991CA5,,
CHQ-2293331-3,8/4/2026,8/4/2026,3989940,,6104632006,VW4574 - WOMEN'S KNIT DAILY TRACK LEGGING. SHELL: 72% POLYESTER 28% EL,VUORI,VW4574,FA846DFD,,
CHQ-2294302-3,8/8/2026,8/8/2026,4037469,VW1532,6114301020,VW1532 - ELEVATION SQUARE NECK CAMI,VUORI,VW1532,7A7C1FA6,,
CHQ-2295531-6,8/9/2026,8/9/2026,4076237,VW4540,6104632006,VW4540 - HALO BALLOON PANT,VUORI,VW4540,D778858E,,
CHQ-2295740-3,8/8/2026,8/8/2026,4036980,,6104632030,VW3284 - HALO SHORT,VUORI,VW3284,1A97FF71,,
CHQ-5039358-8,8/4/2026,8/4/2026,3984724,VW2084,6110303059,HALO MINI FZ HOODIE,VUORI,VW2084,1FD2F59B,,
CHQ-5039358-8,8/4/2026,8/4/2026,3984724,VW2064,6110303059,HALO MODERN FULL ZIP HOODIE,VUORI,VW2064,7D05FC43,,
CHQ-5039358-8,8/4/2026,8/4/2026,3984724,VW2084,6110303059,HALO MINI FZ HOODIE,VUORI,VW2084,1FD2F59B,,
CHQ-2297769-0,8/16/2026,8/18/2026,4001794,,6105202010,V1103 - L/S PONTO BUTTON DOWN,VUORI,V1103,0609985D,,
CHQ-2296622-2,8/12/2026,8/11/2026,4011845,V1152,6205302073,V1152 - L/S MIDWEIGHT FLANNEL SHIRT,VUORI,V1152,4FF30D51,,
CHQ-2296622-2,8/12/2026,8/11/2026,4011845,V1152,6205302073,V1152 - L/S MIDWEIGHT FLANNEL SHIRT,VUORI,V1152,4FF30D51,,
CHQ-2297769-0,8/16/2026,8/18/2026,4001794,,6101302010,V2009 - CORONADO SHIRT JACKET,VUORI,V2009,BFC5E5B2,,
CHQ-2297769-0,8/16/2026,8/18/2026,4001794,V2110,6110303053,V2110 - PONTO PULLOVER HOODIE,VUORI,V2110,C71580C8,,
CHQ-2298741-8,8/16/2026,8/17/2026,4061035,V2110,6110303053,V2110 - PONTO PULLOVER HOODIE,VUORI,V2110,C71580C8,,
CHQ-2298030-6,8/16/2026,8/19/2026,4098706,V253,6110303053,V253 - CORONADO 1/2 ZIP,VUORI,V253,629FC607,,
CHQ-2297769-0,8/16/2026,8/18/2026,4001794,V4103,6104632006,V4103 - CORONADO PANT CLASSIC FIT 30,VUORI,V4103,0C59AEE2,,
CHQ-2296907-7,8/11/2026,8/11/2026,4021062,VW1212,6109901065,VW1212 - US KNIT MEN MAN-MADE T-SHIRT,VUORI,VW1212,4B2FCEC2,,
CHQ-2296514-1,8/12/2026,8/11/2026,4004391,,6110303059,VW1263 - L/S HALO ESSENTIAL SCOOP,VUORI,VW1263,5F9EE7FD,,
CHQ-2297177-6,8/12/2026,8/11/2026,4009049,VW1375,6114301020,VW1375 - US KNIT WOMEN MAN-MADE OTHER TOPS,VUORI,VW1375,2EC9A061,,
CHQ-2297177-6,8/12/2026,8/11/2026,4009049,VW1375,6114301020,VW1375 - US KNIT WOMEN MAN-MADE OTHER TOPS,VUORI,VW1375,2EC9A061,,
CHQ-2297177-6,8/12/2026,8/11/2026,4009049,VW1375,6114301020,VW1375 - US KNIT WOMEN MAN-MADE OTHER TOPS,VUORI,VW1375,2EC9A061,,
CHQ-2294302-3,8/13/2026,8/8/2026,4037469,VW1532,6114301020,VW1532 - ELEVATION SQUARE NECK CAMI,VUORI,VW1532,7A7C1FA6,,
CHQ-2297177-6,8/12/2026,8/11/2026,4009049,VW1609,6110303059,VW1609 - WOMENS KNIT L/S HALO V-NECK CARDIGAN 89% RECYCLED POLYESTER 1,VUORI,VW1609,139996B6,,
CHQ-2297177-6,8/12/2026,8/11/2026,4009049,VW2064,6110303059,VW2064 - US KNIT WOMEN MAN-MADE OTHER PULLOVER,VUORI,VW2064,7D05FC43,,
CHQ-2297177-6,8/12/2026,8/11/2026,4009049,VW2084,6110303059,VW2084 - US KNIT WOMEN MAN-MADE OTHER PULLOVER,VUORI,VW2084,1FD2F59B,,
CHQ-2297177-6,8/12/2026,8/11/2026,4009049,VW2084,6110303059,VW2084 - US KNIT WOMEN MAN-MADE OTHER PULLOVER,VUORI,VW2084,1FD2F59B,,
CHQ-2297177-6,8/12/2026,8/11/2026,4009049,VW2084,6110303059,VW2084 - US KNIT WOMEN MAN-MADE OTHER PULLOVER,VUORI,VW2084,1FD2F59B,,
CHQ-2297177-6,8/12/2026,8/11/2026,4009049,VW2084-L,6110303045,VW2084-L - US KNIT WOMEN MAN-MADE SWEATSHIRT,VUORI,VW2084-L,48692A4F,,
CHQ-2295522-5,8/10/2026,8/8/2026,4028308,VW4540,6104632006,VW4540 - HALO BALLOON PANT,VUORI,VW4540,D778858E,,
CHQ-2295531-6,8/11/2026,8/9/2026,4076237,VW4540,6104632006,VW4540 - HALO BALLOON PANT,VUORI,VW4540,D778858E,,
CHQ-2295545-6,8/10/2026,8/9/2026,3931718,VW5085,6202402005,VW5085 - CITY RAIN TRENCH,VUORI,VW5085,26FDCFBA,,
CHQ-2295545-6,8/10/2026,8/9/2026,3931718,VW5085,6202402005,VW5085 - CITY RAIN TRENCH,VUORI,VW5085,26FDCFBA,,
CHQ-2296179-3,8/10/2026,8/9/2026,3931757,VW5085,6202402005,VW5085 - CITY RAIN TRENCH,VUORI,VW5085,26FDCFBA,,
CHQ-2295563-9,8/17/2026,8/11/2026,4063536,VW2120,6110303045,VW2120 - US KNIT WOMEN MAN-MADE SWEATSHIRT,VUORI,VW2120,01075EE8,,
CHQ-2295563-9,8/17/2026,8/11/2026,4063536,VW2120,6110303045,VW2120 - US KNIT WOMEN MAN-MADE SWEATSHIRT,VUORI,VW2120,01075EE8,,
CHQ-2295563-9,8/17/2026,8/11/2026,4063536,VW444,6104632006,VW444 - WOMENS KNIT CLEAN ELEVATION LEGGING 87%RECYCLED POLYESTER 13%E,VUORI,VW444,1380E59D,,
CHQ-2295563-9,8/17/2026,8/11/2026,4063536,VW444,6104632006,VW444 - WOMENS KNIT CLEAN ELEVATION LEGGING 87%RECYCLED POLYESTER 13%E,VUORI,VW444,1380E59D,,
CHQ-2295563-9,8/17/2026,8/11/2026,4063536,V1057,6109901007,V1057 - MENS KNIT S/S PONTO PEFORMANCE TEE 89% RECYCLED POLYESTER 11%,VUORI,V1057,2A76A947,,
CHQ-2297769-0,8/18/2026,8/18/2026,4001794,,6105202010,V1103 - L/S PONTO BUTTON DOWN,VUORI,V1103,0609985D,,
CHQ-2297769-0,8/18/2026,8/18/2026,4001794,V4103,6104632006,V4103 - CORONADO PANT CLASSIC FIT 30,VUORI,V4103,0C59AEE2,,
CHQ-2297769-0,8/18/2026,8/18/2026,4001794,,6101302010,V2009 - CORONADO SHIRT JACKET,VUORI,V2009,BFC5E5B2,,
CHQ-2297769-0,8/18/2026,8/18/2026,4001794,V2110,6110303053,V2110 - PONTO PULLOVER HOODIE,VUORI,V2110,C71580C8,,
CHQ-2298030-6,8/20/2026,8/19/2026,4098706,V253,6110303053,V253 - CORONADO 1/2 ZIP,VUORI,V253,629FC607,,
CHQ-2299084-2,8/18/2026,8/18/2026,3983488,V2039,6110303053,V2039 - MENS KNIT PONTO 1/2 ZIP MOCK NECK 89% RECYCLED POLYESTER 11% E,VUORI,V2039,7AAB21AE,,
CHQ-2299084-2,8/18/2026,8/18/2026,3983488,V2039,6110303053,V2039 - MENS KNIT PONTO 1/2 ZIP MOCK NECK 89% RECYCLED POLYESTER 11% E,VUORI,V2039,7AAB21AE,,
CHQ-2299084-2,8/18/2026,8/18/2026,3983488,VW4573,6104632006,VW4573 - HALO LOW RISE STRAIGHT LEG,VUORI,VW4573,EF4BEA89,,
CHQ-2299084-2,8/18/2026,8/18/2026,3983488,VW4573,6104632006,VW4573 - HALO LOW RISE STRAIGHT LEG,VUORI,VW4573,EF4BEA89,,
CHQ-2299094-1,8/17/2026,8/16/2026,4041092,V4103,6104632006,V4103 - CORONADO PANT CLASSIC FIT 30,VUORI,V4103,0C59AEE2,,
CHQ-2299434-9,8/18/2026,8/18/2026,4060337,V1152,6205302073,"V1152 - MEN 63% POLYESTER, 34% VISCOSE, 3% ELASTANE WOVEN L/S MIDWEIGH",VUORI,V1152,4FF30D51,,
CHQ-2299434-9,8/18/2026,8/18/2026,4060337,V1152,6205302073,"V1152 - MEN 63% POLYESTER, 34% VISCOSE, 3% ELASTANE WOVEN L/S MIDWEIGH",VUORI,V1152,4FF30D51,,
CHQ-2299468-7,8/18/2026,8/18/2026,4016836,VW1639,6110301560,VW1639 - WOMENS KNIT L/S HALO DOUBLE ZIP TOP 89% RECYCLED POLYESTER 11,VUORI,VW1639,6AA3B75C,,
CHQ-2299468-7,8/18/2026,8/18/2026,4016836,VW1639,6110301560,VW1639 - WOMENS KNIT L/S HALO DOUBLE ZIP TOP 89% RECYCLED POLYESTER 11,VUORI,VW1639,6AA3B75C,,
CHQ-2299468-7,8/18/2026,8/18/2026,4016836,VW1639,6110301560,VW1639 - WOMENS KNIT L/S HALO DOUBLE ZIP TOP 89% RECYCLED POLYESTER 11,VUORI,VW1639,6AA3B75C,,
CHQ-2299468-7,8/18/2026,8/18/2026,4016836,VW1532,6114301020,VW1532 - ELEVATION SQUARE NECK CAMI,VUORI,VW1532,7A7C1FA6,,
CHQ-2299468-7,8/18/2026,8/18/2026,4016836,VW1532,6114301020,VW1532 - ELEVATION SQUARE NECK CAMI,VUORI,VW1532,7A7C1FA6,,
CHQ-2299468-7,8/18/2026,8/18/2026,4016836,VW1532,6114301020,VW1532 - ELEVATION SQUARE NECK CAMI,VUORI,VW1532,7A7C1FA6,,
CHQ-2299468-7,8/18/2026,8/18/2026,4016836,VW1532,6114301020,VW1532 - ELEVATION SQUARE NECK CAMI,VUORI,VW1532,7A7C1FA6,,
CHQ-2299563-5,8/18/2026,8/18/2026,4027877,V2165,6110202069,V2165 - VUORI LOGO HOODIE,VUORI,V2165,855D11D7,,
CHQ-2299574-2,8/18/2026,8/18/2026,4016829,V4103,6104632006,V4103 - CORONADO PANT CLASSIC FIT 30,VUORI,V4103,0C59AEE2,,
CHQ-2299604-7,8/18/2026,8/18/2026,4001817,V2095,6105202010,"V2095 - US KNIT MEN MAN-MADE BUTTON DOWN SHIRTS, POLOS",VUORI,V2095,0FF2F391,,
CHQ-2299604-7,8/18/2026,8/18/2026,4001817,VW1469,6110303059,VW1469 - US KNIT WOMEN MAN-MADE OTHER PULLOVER,VUORI,VW1469,9D7C56E7,,
CHQ-2299604-7,8/18/2026,8/18/2026,4001817,V2009,6101302010,V2009 - US KNIT MEN MAN-MADE OUTERWEAR,VUORI,V2009,BFC5E5B2,,
